turn,player_move,bot_move,player_board,bot_board
21,"(0,6) hit","(3,5) hit",SSXX***..S|...*****.S|...**X*..S|...**X*...|SS.****...|....*.....|S....SS...|...S......|.........S|SSS...S...|,*.*..SXSS*|S.S.......|..*****.SS|***XXX**..|X******.SS|**.......*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
22,"(0,7) hit","(5,3) miss",SSXX***..S|...*****.S|...**X*..S|...**X*...|SS.****...|...**.....|S....SS...|...S......|.........S|SSS...S...|,*.*..SXXS*|S.S.......|..*****.SS|***XXX**..|X******.SS|**.......*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
23,"(0,8) hit","(4,2) miss",SSXX***..S|...*****.S|...**X*..S|...**X*...|SS*****...|...**.....|S....SS...|...S......|.........S|SSS...S...|,*.*..SXXX*|S.S.......|..*****.SS|***XXX**..|X******.SS|**.......*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
24,"(0,5) hit","(6,4) miss",SSXX***..S|...*****.S|...**X*..S|...**X*...|SS*****...|...**.....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|**.......*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
25,"(5,2) miss","(5,5) miss",SSXX***..S|...*****.S|...**X*..S|...**X*...|SS*****...|...***....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|***......*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
26,"(5,3) miss","(1,2) miss",SSXX***..S|..******.S|...**X*..S|...**X*...|SS*****...|...***....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|****.....*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
27,"(5,4) miss","(0,1) hit",SXXX***..S|..******.S|...**X*..S|...**X*...|SS*****...|...***....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|*****....*|.....*....|*SSS.....*|*..*..*...|*...*S...*|
28,"(7,1) hit","(3,2) miss",SXXX***..S|..******.S|...**X*..S|..***X*...|SS*****...|...***....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|*****....*|.....*....|*XSS.....*|*..*..*...|*...*S...*|
29,"(7,2) hit","(5,2) miss",SXXX***..S|..******.S|...**X*..S|..***X*...|SS*****...|..****....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|*****....*|.....*....|*XXS.....*|*..*..*...|*...*S...*|
30,"(7,3) hit","(4,1) hit",SXXX***..S|..******.S|...**X*..S|..***X*...|SX*****...|..****....|S...*SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|*****....*|******....|*XXX*....*|*****.*...|*...*S...*|
31,"(6,9) miss","(6,3) miss",SXXX***..S|..******.S|...**X*..S|..***X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|*****....*|******...*|*XXX*....*|*****.*...|*...*S...*|
32,"(7,7) miss","(1,1) miss",SXXX***..S|.*******.S|...**X*..S|..***X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.SS|*****....*|******...*|*XXX*..*.*|*****.*...|*...*S...*|
33,"(4,8) hit","(0,0) hit",XXXX***..S|********.S|...**X*..S|..***X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX**..|X******.XS|*****....*|******...*|*XXX*..*.*|*****.*...|*...*S...*|
34,"(4,9) hit","(2,2) miss",XXXX***..S|********.S|..***X*..S|..***X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..*****.SS|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.*...|*...*S...*|
35,"(2,7) miss","(2,1) miss",XXXX***..S|********.S|.****X*..S|..***X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..******SS|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.*...|*...*S...*|
36,"(2,8) hit","(3,1) miss",XXXX***..S|********.S|.****X*..S|.****X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XS|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.*...|*...*S...*|
37,"(2,9) hit","(3,0) miss",XXXX***..S|********.S|.****X*..S|*****X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.*...|*...*S...*|
38,"(9,7) miss","(2,0) miss",XXXX***..S|********.S|*****X*..S|*****X*...|SX*****...|..****....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.*...|*...*S.*.*|
39,"(9,8) miss","(4,0) hit",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|******....|S..**SS...|...S......|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.*...|*...*S.***|
40,"(8,7) miss","(7,4) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|******....|S..**SS...|...S*.....|.........S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.**..|*...*S.***|
41,"(8,8) miss","(8,4) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|******....|S..**SS...|...S*.....|....*....S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.***.|*...*S.***|
42,"(8,9) miss","(7,3) hit",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|******....|S.***SS...|..*X*.....|..***....S|SSS...S...|,*.*.*XXXX*|S.S.******|..******XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.****|*...*S.***|
43,"(1,0) hit","(7,5) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|******....|S.***SS...|..*X**....|..***....S|SSS...S...|,***.*XXXX*|X*S.******|********XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.****|*...*S.***|
44,"(1,2) hit","(6,5) hit",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|******....|S.***XS...|..*X**....|..***....S|SSS...S...|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|*****..***|******...*|*XXX*..*.*|*****.****|*...*S.***|
45,"(5,5) miss","(6,6) hit",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..***....S|SSS...S...|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|******.***|******...*|*XXX*..*.*|*****.****|*...*S.***|
46,"(5,6) miss","(9,4) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..***....S|SSS.*.S...|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|**********|******...*|*XXX*..*.*|*****.****|*...*S.***|
47,"(6,8) miss","(9,3) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..***....S|SSS**.S...|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|**********|******..**|*XXX*..*.*|*****.****|*...*S.***|
48,"(9,1) miss","(9,5) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..***....S|SSS***S...|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|**********|******..**|*XXX*..*.*|*****.****|**..*S.***|
49,"(9,2) miss","(8,5) miss",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..****...S|SSS***S...|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|**********|******..**|*XXX*..*.*|*****.****|***.*S.***|
50,"(9,3) miss","(9,6) hit",XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..******.S|SSS***X*..|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|**********|******..**|*XXX*..*.*|*****.****|*****S.***|
51,"(9,5) hit",-,XXXX***..S|********.S|*****X*..S|*****X*...|XX*****...|********..|S.***XX*..|..*X****..|..******.S|SSS***X*..|,*****XXXX*|X*X*******|********XX|***XXX****|X*******XX|**********|******..**|*XXX*..*.*|**********|*****X****|
